system:index,month,month_temp,year,.geo
249,10.0,14377.68,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,11.0,13962.695652173914,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,12.0,13583.47619047619,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,1.0,13229.25,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,2.0,13410.217391304348,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,3.0,13721.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,4.0,14168.24,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,5.0,14629.833333333334,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,6.0,14867.111111111111,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,7.0,14918.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,8.0,14889.413793103447,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,9.0,14658.222222222223,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,10.0,14327.466666666667,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,11.0,13987.333333333334,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,12.0,13464.48,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,1.0,13368.466666666667,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,2.0,13603.684210526315,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,3.0,13699.826086956522,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,4.0,14272.44,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,5.0,14646.17857142857,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,6.0,14852.916666666666,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,7.0,14869.518518518518,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,8.0,14765.92857142857,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,9.0,14716.32142857143,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,10.0,14395.083333333334,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,11.0,13874.115384615385,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,12.0,13655.15,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
